weather_id,station_id,date,tmax_f,tmin_f,wspd_mph,precipitation_in
176,1,2023-06-20,61.0,34.0,,
177,1,2023-06-21,,58.0,,0.35
178,1,2023-06-22,48.0,29.341284403669725,,0.0
179,1,2023-06-23,,,34.0,0.9
180,1,2023-06-24,55.0,-40.0,12.0,
181,1,2023-06-25,,,39.0,0.85
182,1,2023-06-26,,29.341284403669725,14.0,
183,1,2023-06-27,,,,
184,1,2023-06-28,,-3.0,,0.4
185,1,2023-06-29,,35.0,12.0,0.4
186,1,2023-06-30,,,21.0,0.0
187,1,2023-07-01,,,7.0,
188,1,2023-07-02,68.0,3.0,18.0,0.55
189,1,2023-07-03,,,16.0,
190,1,2023-07-04,-6.0,-13.0,26.0,0.6
191,1,2023-07-05,58.0,6.0,,0.95
192,1,2023-07-06,28.95015015015015,,31.0,0.4
193,1,2023-07-07,,,,0.65
194,1,2023-07-08,69.0,1.0,,0.0
195,1,2023-07-09,,,26.0,
196,1,2023-07-10,75.0,29.341284403669725,,0.85
197,1,2023-07-11,0.0,-13.0,20.0,0.45
198,1,2023-07-12,74.0,-10.0,,
199,1,2023-07-13,,-25.0,17.0,
200,1,2023-07-14,,,23.0,0.95
201,1,2023-07-15,,,,0.25
202,1,2023-07-16,35.0,-36.0,20.0,0.55
203,1,2023-07-17,104.0,,12.0,0.35
204,1,2023-07-18,57.0,29.341284403669725,16.0,0.05
205,1,2023-07-19,,76.0,22.0,
206,1,2023-07-20,,,,
207,1,2023-07-21,98.0,24.0,10.0,0.8
208,1,2023-07-22,38.0,29.341284403669725,7.0,
209,1,2023-07-23,,,,0.8
210,1,2023-07-24,,-14.0,16.0,0.5
211,1,2023-07-25,,,,0.0
212,1,2023-07-26,7.0,,27.0,
213,1,2023-07-27,,,16.0,0.7
214,1,2023-07-28,96.0,5.0,33.0,
215,1,2023-07-29,28.95015015015015,,30.0,0.15
216,1,2023-07-30,28.95015015015015,-32.0,12.0,
217,1,2023-07-31,,,27.0,0.8
218,1,2023-08-01,37.0,30.0,6.0,0.85
219,1,2023-08-02,,,,0.3
220,1,2023-08-03,,,23.0,
221,1,2023-08-04,,41.0,,
222,1,2023-08-05,87.0,,16.0,0.85
223,1,2023-08-06,-7.0,-31.0,,
224,1,2023-08-07,40.0,-30.0,19.0,
225,1,2023-08-08,32.0,,,
226,1,2023-08-09,,-35.0,,0.9
227,1,2023-08-10,57.0,6.0,,
228,1,2023-08-11,,,,0.15
229,1,2023-08-12,-11.0,-28.0,,
230,1,2023-08-13,87.0,-39.0,,
231,1,2023-08-14,28.95015015015015,,,0.2
232,1,2023-08-15,-4.0,-40.0,,0.9
233,1,2023-08-16,,,36.0,0.4
234,1,2023-08-17,59.0,8.0,34.0,0.6
235,1,2023-08-18,,,17.0,
236,1,2023-08-19,64.0,-12.0,,0.8
237,1,2023-08-20,,,,0.6
238,1,2023-08-21,41.0,-17.0,,
239,1,2023-08-22,,,5.0,
240,1,2023-08-23,71.0,49.0,,0.25
241,1,2023-08-24,70.0,,19.0,0.9
242,1,2023-08-25,102.0,-27.0,39.0,0.15
243,1,2023-08-26,18.0,-2.0,21.0,0.3
244,1,2023-08-27,,,,
245,1,2023-08-28,,,14.0,0.05
246,1,2023-08-29,108.0,88.0,,0.05
247,1,2023-08-30,,,0.0,0.85
248,1,2023-08-31,,69.0,,0.7
249,1,2023-09-01,,,,0.65
250,1,2023-09-02,32.0,-10.0,,0.0
251,1,2023-09-03,,,,0.9
252,1,2023-09-04,,29.341284403669725,2.0,
253,1,2023-09-05,4.0,-25.0,,
254,1,2023-09-06,,,40.0,0.7
255,1,2023-09-07,30.0,-19.0,5.0,0.6
256,1,2023-09-08,-4.0,-33.0,13.0,0.85
257,1,2023-09-09,85.0,55.0,0.0,0.8
258,1,2023-09-10,56.0,-10.0,40.0,
259,1,2023-09-11,99.0,-29.0,33.0,0.5
260,1,2023-09-12,,,36.0,
261,1,2023-09-13,93.0,29.341284403669725,,0.65
262,1,2023-09-14,58.0,17.0,,0.55
263,1,2023-09-15,,,5.0,
264,1,2023-09-16,74.0,-2.0,,0.7
265,1,2023-09-17,40.0,-16.0,,0.1
266,1,2023-09-18,62.0,29.341284403669725,38.0,
267,1,2023-09-19,,,16.0,0.95
268,1,2023-09-20,,,,0.15
269,1,2023-09-21,74.0,29.341284403669725,,
270,1,2023-09-22,6.0,2.0,6.0,0.7
271,1,2023-09-23,,,39.0,0.8
272,1,2023-09-24,52.0,6.0,7.0,
273,1,2023-09-25,,,36.0,0.3
274,1,2023-09-26,28.95015015015015,-15.0,10.0,0.9
275,1,2023-09-27,,,7.0,0.0
276,1,2023-09-28,65.0,29.341284403669725,39.0,
277,1,2023-09-29,,,20.0,
278,1,2023-09-30,,,,
279,1,2023-10-01,106.0,29.341284403669725,39.0,
280,1,2023-10-02,45.0,25.0,37.0,
281,1,2023-10-03,,,,
282,1,2023-10-04,106.0,56.0,,0.95
283,1,2023-10-05,74.0,-9.0,,
284,1,2023-10-06,,,,
285,1,2023-10-07,28.95015015015015,-10.0,,
286,1,2023-10-08,45.0,-18.0,,
287,1,2023-10-09,5.0,-35.0,14.0,
288,1,2023-10-10,42.0,32.0,24.0,0.35
289,1,2023-10-11,3.0,-7.0,18.0,
290,1,2023-10-12,100.0,29.341284403669725,,0.4
291,1,2023-10-13,,,,0.4
292,1,2023-10-14,76.0,-20.0,,0.55
293,1,2023-10-15,88.0,-28.0,,
294,1,2023-10-16,109.0,23.0,2.0,
295,1,2023-10-17,63.0,-32.0,10.0,
296,1,2023-10-18,85.0,-38.0,,0.15
297,1,2023-10-19,-10.0,-12.0,29.0,0.5
298,1,2023-10-20,,,40.0,0.65
299,1,2023-10-21,,,27.0,0.8
300,1,2023-10-22,,,4.0,0.15
301,1,2023-10-23,62.0,-10.0,,
302,1,2023-10-24,,,18.0,
303,1,2023-10-25,,,1.0,0.45
304,1,2023-10-26,,95.0,,
305,1,2023-10-27,88.0,62.0,35.0,
306,1,2023-10-28,25.0,,28.0,
307,1,2023-10-29,,59.0,33.0,
308,1,2023-10-30,,,20.0,
309,1,2023-10-31,,,,0.1
310,1,2023-11-01,79.0,53.0,6.0,0.5
311,1,2023-11-02,65.0,-14.0,20.0,
312,1,2023-11-03,,,,
313,1,2023-11-04,34.0,-18.0,40.0,
314,1,2023-11-05,83.0,26.0,,0.8
315,1,2023-11-06,,4.0,33.0,
316,1,2023-11-07,28.95015015015015,25.0,,0.65
317,1,2023-11-08,67.0,45.0,,0.05
318,1,2023-11-09,,,27.0,
319,1,2023-11-10,71.0,8.0,,
320,1,2023-11-11,31.0,3.0,,0.7
321,1,2023-11-12,,,,0.85
322,1,2023-11-13,,,21.0,0.3
323,1,2023-11-14,,66.0,29.0,
324,1,2023-11-15,28.95015015015015,-4.0,32.0,0.7
325,1,2023-11-16,37.0,33.0,22.0,
326,1,2023-11-17,54.0,39.0,,0.55
327,1,2023-11-18,28.95015015015015,-28.0,1.0,0.6
328,1,2023-11-19,66.0,,21.0,
329,1,2023-11-20,88.0,29.0,,0.2
330,1,2023-11-21,37.0,-17.0,25.0,
331,1,2023-11-22,,,,
332,1,2023-11-23,24.0,,16.0,0.45
333,1,2023-11-24,48.0,39.0,33.0,0.55
334,1,2023-11-25,79.0,66.0,,0.9
335,1,2023-11-26,,,,
336,1,2023-11-27,73.0,69.0,,0.55
337,1,2023-11-28,70.0,-5.0,,0.15
338,1,2023-11-29,89.0,31.0,24.0,
339,1,2023-11-30,,-34.0,19.0,0.05
340,1,2023-12-01,,29.341284403669725,27.0,0.8
341,1,2023-12-02,82.0,10.0,32.0,
342,1,2023-12-03,40.0,29.341284403669725,30.0,
343,1,2023-12-04,,10.0,,0.65
344,1,2023-12-05,,,,
345,1,2023-12-06,10.0,-33.0,,0.35
346,1,2023-12-07,,,,0.55
347,1,2023-12-08,69.0,23.0,,0.7
348,1,2023-12-09,65.0,,,
349,1,2023-12-10,20.0,14.0,,
350,1,2023-12-11,,,35.0,0.2
351,1,2023-12-12,,,5.0,
352,1,2023-12-13,,29.341284403669725,25.0,
353,1,2023-12-14,77.0,60.0,38.0,0.85
354,1,2023-12-15,,,,
355,1,2023-12-16,41.0,22.0,,
356,1,2023-12-17,,,9.0,0.35
357,1,2023-12-18,24.0,8.0,25.0,0.85
358,1,2023-12-19,93.0,84.0,17.0,
359,1,2023-12-20,,,,
360,1,2023-12-21,,,3.0,0.4
361,1,2023-12-22,68.0,27.0,,
362,1,2023-12-23,,,33.0,0.75
363,1,2023-12-24,,,,0.25
364,1,2023-12-25,,,4.0,0.1
365,1,2023-12-26,,,20.0,0.3
366,1,2023-12-27,,0.0,16.0,
367,1,2023-12-28,28.0,17.0,37.0,0.75
368,1,2023-12-29,,29.0,,0.05
369,1,2023-12-30,-28.0,-39.0,32.0,0.45
370,1,2023-12-31,-18.0,,34.0,0.2
